Dataset,DTWD,WEASEL+MUSE,MLSTM-FCNs,MiniRocket,TapNet,ShapeNet,DANet,w/o G,w/o D,TSNet
ArticularyWordRecognition,0.987,0.99,0.973,0.992,0.987,0.987,0.98,0.973,0.99,0.99
AtrialFibrillation,0.2,0.333,0.267,0.166,0.333,0.367,0.333,0.333,0.367,0.533
BasicMotions,0.975,1.0,0.95,1.0,1.0,1.0,0.925,0.975,1.0,1.0
CharacterTrajectories,0.989,0.99,0.985,0.993,0.997,0.98,0.997,0.993,0.995,0.998
Cricket,1.0,1.0,0.917,0.986,0.958,0.986,0.861,0.958,0.986,0.986
EthanolConcentration,0.323,0.43,0.373,0.468,0.323,0.312,0.35,0.475,0.605,0.612
FingerMovements,0.53,0.49,0.58,0.55,0.53,0.58,0.51,0.55,0.61,0.62
Heartbeat,0.717,0.727,0.663,0.771,0.751,0.756,0.624,0.732,0.751,0.776
JapaneseVowels,0.949,0.973,0.976,0.981,0.965,0.984,0.938,0.96,0.97,0.987
Libras,0.87,0.878,0.856,0.894,0.85,0.856,0.8,0.856,0.906,0.906
NATOPS,0.883,0.87,0.889,0.928,0.939,0.883,0.878,0.944,0.939,0.972
PenDigits,0.977,0.948,0.978,0.965,0.98,0.977,0.98,0.958,0.975,0.983
RacketSports,0.803,0.934,0.803,0.868,0.868,0.882,0.803,0.796,0.829,0.908
SpokenArabicDigits,0.963,0.982,0.99,0.993,0.983,0.975,0.98,0.982,0.984,0.987
StandWalkJump,0.2,0.333,0.067,0.333,0.4,0.5,0.4,0.467,0.467,0.533
