Dataset,MCTNet,TapNet,ShapeNet,MLSTM-FCN,WEASEL+MUSE,NS,MiniRocket,ED-1NN,DTW-INN-I,DTW-INN-D,FDNet
ArticularyWordRecognition,0.943,0.987,0.987,0.973,0.99,0.987,0.993,0.97,0.98,0.987,0.993
AtrialFibrillation,0.667,0.333,0.4,0.267,0.333,0.133,0.133,0.267,0.267,0.2,0.667
BasicMotions,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.675,1.0,0.975,1.0
Cricket,0.972,0.958,0.986,0.917,1.0,0.986,0.986,0.944,0.986,1.0,1.0
EigenWorms,0.702,0.489,0.878,0.504,0.89,0.878,0.954,0.55,0.603,0.618,0.733
Epilepsy,0.971,0.971,0.987,0.761,1.0,0.957,1.0,0.667,0.978,0.964,0.993
EthanolConcentration,0.335,0.323,0.312,0.373,0.43,0.236,0.468,0.293,0.304,0.323,0.426
FaceDetection,0.663,0.556,0.602,0.545,0.545,0.528,0.631,0.519,0.513,0.529,0.7
FingerMovements,0.66,0.53,0.58,0.58,0.49,0.54,0.45,0.55,0.52,0.53,0.67
Handwriting,0.147,0.357,0.451,0.286,0.605,0.533,0.511,0.371,0.509,0.607,0.395
Heartbeat,0.766,0.751,0.756,0.663,0.727,0.737,0.761,0.62,0.659,0.717,0.776
Libras,0.894,0.85,0.856,0.856,0.878,0.867,0.911,0.833,0.894,0.872,0.9
LSST,0.582,0.568,0.59,0.373,0.59,0.558,0.66,0.456,0.575,0.551,0.585
MotorImagery,0.67,0.59,0.61,0.51,0.5,0.54,0.58,0.51,0.39,0.5,0.63
NATOPS,0.961,0.939,0.883,0.889,0.87,0.944,0.928,0.86,0.85,0.883,0.989
PEMS-SF,0.902,0.751,0.751,0.699,,0.688,0.832,0.705,0.734,0.711,0.971
PenDigits,0.98,0.98,0.977,0.978,0.948,0.983,0.965,0.973,0.939,0.977,0.979
PhonemeSpectra,0.143,0.175,0.298,0.11,0.19,0.246,0.292,0.104,0.151,0.151,0.152
RacketSports,0.882,0.868,0.882,0.803,0.934,0.862,0.875,0.868,0.842,0.803,0.908
SelfRegulationSCP1,0.894,0.652,0.782,0.874,0.71,0.846,0.918,0.771,0.765,0.775,0.932
SelfRegulationSCP2,0.606,0.55,0.578,0.472,0.46,0.556,0.5,0.483,0.533,0.539,0.589
StandWalkJump,0.733,0.4,0.533,0.067,0.333,0.4,0.333,0.2,0.333,0.2,0.733
UWaveGestureLibrary,0.884,0.894,0.906,0.891,0.916,0.884,0.941,0.881,0.869,0.903,0.916
