Dataset,TCRAN,ShapeNet,TapNet,MLSTM-FCN,WEASEL+MUSE,ED-1NN,DTW-1NN-I,DTW-1NN-D,ED-1NN(norm),DTW-1NN-I(norm),DTW-1NN-D(norm)
ArticularyWordRecognition,0.997,0.987,0.987,0.973,0.99,0.97,0.98,0.987,0.97,0.98,0.987
AtrialFibrilation,0.4,0.4,0.333,0.267,0.333,0.267,0.267,0.2,0.267,0.267,0.22
BasicMotions,1.0,1.0,1.0,0.95,1.0,0.675,1.0,0.975,0.676,1.0,0.975
CharacterTrajectories,1.0,0.98,0.997,0.985,0.99,0.964,0.969,0.99,0.964,0.969,0.989
FaceDetection,0.581,0.602,0.556,0.545,0.545,0.519,0.513,0.529,0.519,0.5,0.529
HandMovementDirection,0.419,0.338,0.378,0.365,0.365,0.279,0.306,0.231,0.278,0.306,0.231
Heartbeat,0.785,0.756,0.751,0.663,0.727,0.62,0.659,0.717,0.619,0.658,0.717
MotorImagery,0.61,0.61,0.59,0.51,0.5,0.51,0.39,0.5,0.51,,0.5
NATOPS,0.972,0.883,0.939,0.889,0.87,0.86,0.85,0.883,0.85,0.85,0.883
PEMS-SF,0.803,0.751,0.751,0.699,,0.705,0.734,0.711,0.705,0.734,0.711
PenDigits,0.98,0.977,0.98,0.978,0.948,0.973,0.939,0.977,0.973,0.939,0.977
Phoneme,0.199,0.298,0.175,0.11,0.19,0.104,0.151,0.151,0.104,0.151,0.151
SelfRegulationSCP2,0.578,0.578,0.55,0.472,0.46,0.483,0.533,0.539,0.483,0.533,0.539
SpokenArabicDigits,0.99,0.975,0.983,0.99,0.982,0.967,0.96,0.963,0.967,0.959,0.963
StandWalkJump,0.6,0.533,0.4,0.067,0.333,0.2,0.333,0.2,0.2,0.333,0.2
