dataset,ED-1NN,DTW-1NN-I,DTW-1NN-D,MLSTM-FCN,ShapeNet,TapNet,OS-CNN,TodyNet,SVP-T,ConvTran,MPTSNet,KDPMHL
ArticularyWordRecognition,0.97,0.98,0.987,0.973,0.987,0.987,0.988,0.987,0.993,0.983,0.977,0.997
AtrialFibrillation,0.267,0.267,0.2,0.267,0.4,0.333,0.233,0.467,0.4,0.4,0.533,0.533
BasicMotions,0.675,1.0,0.975,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cricket,0.944,0.986,1.0,0.917,0.986,0.958,0.993,1.0,1.0,1.0,0.944,1.0
DuckDuckGeese,0.275,0.55,0.6,0.675,0.725,0.575,0.54,0.58,0.7,0.62,0.68,0.74
Epilepsy,0.667,0.978,0.964,0.761,0.987,0.971,0.98,0.971,0.986,0.986,0.971,0.993
EthanolConcentration,0.293,0.304,0.323,0.373,0.312,0.323,0.24,0.35,0.331,0.361,0.433,0.433
ERing,0.133,0.133,0.133,0.133,0.133,0.133,0.881,0.915,0.937,0.963,0.944,0.967
FaceDetection,0.519,0.513,0.529,0.602,0.545,0.556,0.575,0.627,0.512,0.672,0.698,0.686
FingerMovements,0.55,0.52,0.53,0.58,0.589,0.53,0.568,0.57,0.6,0.56,0.64,0.67
HandMovementDirection,0.279,0.306,0.231,0.365,0.338,0.378,0.443,0.649,0.392,0.405,0.635,0.419
Handwriting,0.371,0.509,0.607,0.286,0.451,0.357,0.668,0.436,0.433,0.375,0.344,0.592
Heartbeat,0.62,0.659,0.717,0.663,0.756,0.751,0.489,0.756,0.79,0.785,0.756,0.776
Libras,0.833,0.894,0.872,0.856,0.856,0.85,0.95,0.85,0.883,0.928,0.872,0.95
LSST,0.456,0.575,0.551,0.373,0.59,0.568,0.413,0.615,0.666,0.616,0.604,0.666
MotorImagery,0.51,0.39,0.5,0.51,0.61,0.59,0.535,0.64,0.65,0.56,0.65,0.62
NATOPS,0.86,0.85,0.883,0.889,0.883,0.939,0.968,0.972,0.906,0.944,0.944,0.994
PEMS-SF,0.705,0.734,0.711,0.699,0.751,0.751,0.76,0.78,0.867,0.828,0.942,0.908
PhonemeSpectra,0.104,0.151,0.151,0.11,0.298,0.175,0.299,0.309,0.176,0.306,0.144,0.283
RacketSports,0.868,0.842,0.803,0.803,0.882,0.868,0.877,0.803,0.842,0.862,0.875,0.882
SelfRegulationSCP1,0.771,0.765,0.775,0.874,0.782,0.652,0.835,0.898,0.884,0.918,0.928,0.911
SelfRegulationSCP2,0.483,0.533,0.539,0.472,0.578,0.55,0.532,0.55,0.6,0.583,0.572,0.606
StandWalkJump,0.2,0.333,0.2,0.067,0.533,0.4,0.383,0.467,0.467,0.333,0.533,0.667
UWaveGestureLibrary,0.881,0.869,0.903,0.891,0.906,0.894,0.927,0.85,0.941,0.891,0.881,0.922
