Dataset,ED,MLSTM-FCNs,WEASEL+MUSE,DTW-I,ROCKET,ConvTran,DTW-D,TapNet,ShapeNet,TST,TARNet,MD-Former
ArticularyWordRecognition,0.97,0.973,0.99,0.98,0.993,0.983,0.987,0.987,0.987,0.947,0.977,0.983
AtrialFibrillation,0.267,0.267,0.333,0.267,0.067,0.4,0.22,0.333,0.4,0.533,1.0,0.6
BasicMotions,0.676,0.95,1.0,1.0,1.0,1.0,0.975,1.0,1.0,0.925,1.0,1.0
CharacterTrajectories,0.964,0.985,0.99,0.969,0.991,0.992,0.989,0.997,0.98,0.971,0.994,0.99
Cricket,0.944,0.917,1.0,0.986,1.0,1.0,1.0,0.958,0.986,0.847,1.0,0.986
DuckDuckGeese,0.275,0.675,0.575,0.55,0.5,0.62,0.6,0.575,0.725,0.3,0.75,0.5
EigenWorms,0.549,0.504,0.89,,0.65,0.593,0.618,0.489,0.878,0.72,0.42,0.901
Epilepsy,0.666,0.761,1.0,0.978,0.986,0.986,0.964,0.971,0.987,0.775,1.0,0.986
ERing,0.133,0.133,0.133,0.133,0.989,0.963,0.133,0.133,0.133,0.93,0.919,0.952
EthanolConcentration,0.293,0.373,0.43,0.304,0.45,0.361,0.323,0.323,0.312,0.337,0.323,0.46
FaceDetection,0.519,0.545,0.545,,0.638,0.672,0.529,0.556,0.602,0.625,0.641,0.653
FingerMovements,0.55,0.58,0.49,0.52,0.52,0.56,0.53,0.53,0.58,0.59,0.62,0.65
HandMovementDirection,0.278,0.365,0.365,0.306,0.486,0.405,0.231,0.378,0.338,0.675,0.392,0.446
Handwriting,0.2,0.286,0.605,0.316,0.596,0.375,0.286,0.357,0.451,0.359,0.281,0.261
Heartbeat,0.619,0.663,0.727,0.658,0.741,0.785,0.717,0.751,0.756,0.782,0.78,0.79
InsectWingbeat,0.128,0.167,,,0.179,0.713,,0.208,0.25,0.687,0.137,0.71
JapaneseVowels,0.924,0.976,0.973,0.959,0.978,0.989,0.949,0.965,0.984,0.995,0.992,0.978
Libras,0.833,0.856,0.878,0.894,0.906,0.928,0.87,0.85,0.856,0.861,1.0,0.894
LSST,0.456,0.373,0.59,0.575,0.635,0.615,0.551,0.568,0.59,0.576,0.976,0.594
MotorImagery,0.51,0.51,0.5,,0.46,0.56,0.5,0.59,0.61,0.61,0.63,0.66
NATOPS,0.85,0.889,0.87,0.85,0.872,0.944,0.883,0.939,0.883,0.939,0.911,0.911
PEMS-SF,0.705,0.699,,0.734,0.832,0.828,0.711,0.751,0.751,0.93,0.936,0.96
PenDigits,0.973,0.978,0.948,0.939,0.981,0.987,0.977,0.98,0.977,0.981,0.976,0.988
PhonemeSpectra,0.104,0.11,0.19,0.151,0.273,0.306,0.151,0.175,0.298,0.111,0.165,0.175
RacketSports,0.868,0.803,0.934,0.842,0.901,0.862,0.803,0.868,0.882,0.796,0.987,0.895
SelfRegulationSCP1,0.771,0.874,0.71,0.765,0.867,0.92,0.775,0.652,0.782,0.961,0.816,0.915
SelfRegulationSCP2,0.483,0.472,0.46,0.533,0.555,0.583,0.539,0.55,0.578,0.604,0.622,0.6
SpokenArabicDigits,0.967,0.99,0.982,0.959,0.997,,0.963,0.983,0.975,0.998,0.985,0.989
StandWalkJump,0.2,0.067,0.333,0.333,0.467,0.333,0.2,0.4,0.533,0.6,0.533,0.733
UWaveGestureLibrary,0.881,0.891,0.916,0.868,0.931,0.891,0.903,0.894,0.906,0.913,0.878,0.897
