Abbreviation,Dataset,InceptionTime-TEAM,ResNet-TEAM,DenseNet-TEAM,FCN-TEAM,SLCNN-TEAM,InceptionGRA,MLSTM-FCN,WEASEL+MUSE,ED-1NN,DTW-1NN-I,DTW-1NN-D,ED-1NN (norm),DTW-1NN-I (norm),DTW-1NN-D (norm)
AWR,ArticularyWordRecognition,98.7,98.7,99.3,99.0,98.7,99.0,97.3,99.0,97.0,98.0,98.7,97.0,98.0,98.7
AF,AtrialFibrillation,53.3,53.3,60.0,53.3,60.0,46.7,26.7,33.3,26.7,26.7,20.0,26.7,26.7,22.0
BM,BasicMotions,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,67.5,100.0,97.5,67.6,100.0,97.5
CT,CharacterTrajectories,99.5,99.5,99.6,99.5,99.3,100.0,98.5,99.0,96.4,96.9,99.0,96.4,96.9,98.9
FD,FaceDetection,69.9,68.2,70.9,69.8,68.3,65.3,54.5,54.5,51.9,51.3,52.9,51.9,50.0,52.9
HMD,HandMovementDirection,71.6,64.9,50.0,68.9,64.9,45.9,36.5,36.5,27.9,30.6,23.1,27.8,30.6,23.1
HB,Heartbeat,75.1,75.6,80.0,75.1,81.5,78.0,66.3,72.7,62.0,65.9,71.7,61.9,65.8,71.7
MI,MotorImagery,63.0,63.0,71.0,64.0,60.0,64.0,51.0,50.0,51.0,39.0,50.0,51.0,,50.0
NAT,NATOPS,97.2,97.8,93.3,97.8,97.2,96.7,88.9,87.0,86.0,85.0,88.3,85.0,85.0,88.3
PEM,PEMS-SF,90.8,90.8,91.3,90.8,86.7,81.5,69.9,,70.5,73.4,71.1,70.5,73.4,71.1
PD,PenDigits,99.3,98.9,99.0,98.9,98.4,99.1,97.8,94.8,97.3,93.9,97.7,97.3,93.9,97.7
PS,PhonemeSpectra,34.7,37.6,31.9,34.2,14.5,34.1,11.0,19.0,10.4,15.1,15.1,10.4,15.1,15.1
SRS,SelfRegulationSCP2,60.0,61.1,60.6,60.0,57.8,58.9,47.2,46.0,48.3,53.3,53.9,48.3,53.3,53.9
SAD,SpokenArabicDigits,99.9,99.9,99.6,99.9,99.6,100.0,99.0,98.2,96.7,96.0,96.3,96.7,95.9,96.3
SWJ,StandWalkJump,60.0,60.0,80.0,73.3,73.3,60.0,6.7,33.3,20.0,33.3,20.0,20.0,33.3,20.0
